1,Episode 1,1,1
2,Episode 2,2,1
3,Episode 3,3,1
4,Episode 4,4,1
5,Episode 5,5,1
6,Episode 6,6,1
7,Episode 7,7,1
8,Episode 8,8,1
9,Episode 1,1,2
10,Episode 2,2,2
11,Episode 3,3,2
12,Episode 4,4,2
13,Episode 5,5,2
14,Episode 6,6,2
15,Episode 7,7,2
16,Episode 8,8,2
17,Capítulo Um: É Tempo de Halloween,1,3
18,Capítulo Dois: Batismo das Trevas,2,3
19,Capítulo Três: O Julgamento de Sabrina Spellman,3,3
20,Capítulo Quatro: Academia de Bruxas,4,3
21,Capítulo Cinco: Sonhos de Bruxa,5,3
22,Capítulo Seis: Exorcismo em Greendale,6,3
23,Capítulo Sete: O Ritual dos Rituais,7,3
24,Capítulo Oito: O Enterro,8,3
25,Capítulo Nove: De Volta ao Mundo dos Vivos,9,3
26,Capítulo Dez: A Hora das Bruxas,10,3
27,Capítulo Onze: Um Conto de Inverno,11,3
28,Capítulo Doze: Epifania,1,4
29,Capítulo Treze: A Paixão de Sabrina Spellman,2,4
30,Capítulo Catorze: Lupercália,3,4
31,Capítulo Quinze: As Profecias do Dr. Cerberus,4,4
32,Capítulo Dezesseis: Blackwood,5,4
33,Capítulo Dezessete: Missionários,6,4
34,Capítulo Dezoito: Os Milagres de Sabrina Spellman,7,4
35,Capítulo Dezenove: Mandrágora,8,4
36,Capítulo Vinte: Valsa com o Diabo,9,4
37,Capítulo Vinte e Um: Não Vou para o Inferno,1,5
38,Capítulo Vinte e Dois: Levando Almas para o Inferno,2,5
39,Capítulo Vinte e Três: O Peso da Coroa,3,5
40,Capítulo Vinte e Quatro: Banho de Lua,4,5
41,Capítulo Vinte e Cinco: O Mal Interior,5,5
42,Capítulo Vinte e Seis: Todas as Bruxas,6,5
43,Capítulo Vinte e Sete: O Beijo de Judas,7,5
44,Capítulo Vinte e Oito: Sabrina é Lenda,8,5
45,Chapter Twenty-Nine: The Eldritch Dark,1,6
46,Chapter Thirty: The Uninvited,2,6
47,Chapter Thirty-One: The Weird One,3,6
48,Chapter Thirty-Two: The Imp of the Perverse,4,6
49,Chapter Thirty-Three: Deus Ex Machina,5,6
50,Chapter Thirty-Four: The Returned,6,6
51,Chapter Thirty-Five: The Endless,7,6
52,Chapter Thirty-Six: At the Mountains of Madness,8,6
53,Arrival,1,7
54,Secrets,2,7
55,Suspicion,3,7
56,Certainty,4,7
57,Betrayal,5,7
58,Fate,6,7
59,A gente só se encontra em casamentos e funerais,1,8
60,Corre cara corre,2,8
61,Comum (só que não),3,8
62,Sentado na Lua,4,8
63,Número Cinco,5,8
64,O dia que não aconteceu,6,8
65,O dia que aconteceu,7,8
66,Eu ouvi um boato,8,8
67,Mudanças,9,8
68,O violino branco,10,8
69,De volta ao início,1,9
70,O vídeo dos Frankel,2,9
71,Rastros,3,9
72,Os Doze Majestosos,4,9
73,Valhala,5,9
74,Refeição leve,6,9
75,Oga Foroga,7,9
76,Os sete estágios,8,9
77,743,9,9
78,Procurados,10,9